doc_file,topic_id,topic_label,topic_proportion
20180108TORBKN.txt,10,Wing isolation or drive play,0.7176282051282051
20161120INDOKC.txt,5,Screen-related offensive contact,0.707169459962756
20160330MIALAL.txt,6,Off-ball or weak-side contact,0.6524914089347079
20180114NOPNYK.txt,4,Drive or shot contested by defender,0.6331679073614557
20170213NOPPHO.txt,4,Drive or shot contested by defender,0.6202064896755162
20171230NYKNOP.txt,4,Drive or shot contested by defender,0.6159673659673659
20180323BKNTOR.txt,10,Wing isolation or drive play,0.6107561235356762
20171129GSWLAL.txt,6,Off-ball or weak-side contact,0.6065972222222222
20170311WASPOR.txt,3,Perimeter shot with defender contact,0.5840415486307837
20170422SASMEM.txt,7,Post-play physical contact,0.5807511737089202
20171218GSWLAL.txt,6,Off-ball or weak-side contact,0.5754332313965341
20161213NYKPHO.txt,4,Drive or shot contested by defender,0.5754332313965341
20170121PHONYK.txt,4,Drive or shot contested by defender,0.5621980676328502
20161211NOPPHO.txt,4,Drive or shot contested by defender,0.5619578686493184
20160308BKNTOR.txt,10,Wing isolation or drive play,0.5586264656616415
20171213OKCIND.txt,5,Screen-related offensive contact,0.555050505050505
20170216BOSCHI.txt,11,General shooting foul situation,0.55359477124183
20171222CHAMIL.txt,9,Guard-driven shot with defensive pressure,0.549863387978142
20171023CHAMIL.txt,9,Guard-driven shot with defensive pressure,0.5471596998928189
20170404MEMSAS.txt,7,Post-play physical contact,0.5467244701348747
20160410MILPHI.txt,9,Guard-driven shot with defensive pressure,0.540905134899913
20180207MINCLE.txt,1,Shot attempt with incidental contact,0.5385038503850385
20150509ATLWAS.txt,2,Replay review and ruling outcome,0.5231481481481481
20150310NYKUTA.txt,0,Close-range contact near the basket,0.5221169036334913
20170416CHIBOS.txt,11,General shooting foul situation,0.5146082337317397
20180108SASSAC.txt,7,Post-play physical contact,0.514525993883792
20161102CHIBOS.txt,11,General shooting foul situation,0.5091074681238615
20150412OKCIND.txt,5,Screen-related offensive contact,0.5064814814814815
20180305MEMSAS.txt,7,Post-play physical contact,0.5047425474254743
20160406DETORL.txt,3,Perimeter shot with defender contact,0.5030721966205838
20170108DETPOR.txt,3,Perimeter shot with defender contact,0.5024067388688327
20160325MINWAS.txt,1,Shot attempt with incidental contact,0.4951287404314544
20171223MILCHA.txt,9,Guard-driven shot with defensive pressure,0.4937214611872146
20180316DALTOR.txt,10,Wing isolation or drive play,0.4898459383753501
20161105WASORL.txt,3,Perimeter shot with defender contact,0.4890453834115806
20160219CHAMIL.txt,9,Guard-driven shot with defensive pressure,0.4874631268436578
20170427SASMEM.txt,7,Post-play physical contact,0.4840510366826157
20161216SACMEM.txt,7,Post-play physical contact,0.483187134502924
20160219INDOKC.txt,5,Screen-related offensive contact,0.4808558558558559
20171101MILCHA.txt,9,Guard-driven shot with defensive pressure,0.4796557120500783
20151125NOPPHO.txt,4,Drive or shot contested by defender,0.476537216828479
20161104PHONOP.txt,4,Drive or shot contested by defender,0.4741496598639456
20171125PORWAS.txt,3,Perimeter shot with defender contact,0.4732770745428973
20170327MEMSAC.txt,7,Post-play physical contact,0.4708333333333334
20160408LACUTA.txt,0,Close-range contact near the basket,0.4697777777777777
20180226PHONOP.txt,4,Drive or shot contested by defender,0.4642276422764227
20170223PORORL.txt,3,Perimeter shot with defender contact,0.4629629629629629
20170123GSWMIA.txt,6,Off-ball or weak-side contact,0.4611451942740286
20151122PHONOP.txt,4,Drive or shot contested by defender,0.4600456621004566
20180113BKNWAS.txt,10,Wing isolation or drive play,0.4590643274853801
20170121WASDET.txt,3,Perimeter shot with defender contact,0.4588313413014608
20170125PHIMIL.txt,9,Guard-driven shot with defensive pressure,0.4572649572649573
20161205MEMNOP.txt,7,Post-play physical contact,0.4557291666666666
20160401CLEATL.txt,1,Shot attempt with incidental contact,0.4537786774628879
20180316MIALAL.txt,6,Off-ball or weak-side contact,0.4500624219725344
20160224GSWMIA.txt,6,Off-ball or weak-side contact,0.4416666666666667
20170409CLEATL.txt,1,Shot attempt with incidental contact,0.4406721536351166
20170228PORDET.txt,3,Perimeter shot with defender contact,0.4396051103368176
20171130CHIDEN.txt,11,General shooting foul situation,0.4381944444444444
20161027BOSCHI.txt,11,General shooting foul situation,0.4380692167577413
20170206OKCIND.txt,5,Screen-related offensive contact,0.4359903381642512
20150315HOULAC.txt,0,Close-range contact near the basket,0.4345730027548209
20161222LALMIA.txt,6,Off-ball or weak-side contact,0.4326047358834244
20170129NYKATL.txt,4,Drive or shot contested by defender,0.4311811811811812
20160405MINGSW.txt,1,Shot attempt with incidental contact,0.430494905385735
20170208WASBKN.txt,10,Wing isolation or drive play,0.4249786871270247
20171020UTAMIN.txt,1,Shot attempt with incidental contact,0.4248035914702581
20161118TORDEN.txt,10,Wing isolation or drive play,0.4225293132328307
20170324ATLMIL.txt,9,Guard-driven shot with defensive pressure,0.4216791979949875
20151118MINORL.txt,1,Shot attempt with incidental contact,0.4216008771929824
20180129BOSDEN.txt,11,General shooting foul situation,0.4191073919107392
20170421HOUOKC.txt,5,Screen-related offensive contact,0.4190705128205128
20161217HOUMIN.txt,1,Shot attempt with incidental contact,0.4169510807736064
20171018HOUSAC.txt,8,Marginal contact & non-call assessment,0.413768115942029
20160120UTANYK.txt,0,Close-range contact near the basket,0.4109649122807017
20170320UTAIND.txt,5,Screen-related offensive contact,0.4106606606606607
20171228HOUBOS.txt,11,General shooting foul situation,0.410548523206751
20160301ATLGSW.txt,6,Off-ball or weak-side contact,0.4102196752626552
20150513WASATL.txt,2,Replay review and ruling outcome,0.40993265993266
20180302CHAPHI.txt,9,Guard-driven shot with defensive pressure,0.4094551282051282
20171211TORLAC.txt,10,Wing isolation or drive play,0.4071815718157182
20161122CHIDEN.txt,11,General shooting foul situation,0.4069892473118279
20170204CHAUTA.txt,9,Guard-driven shot with defensive pressure,0.4064465408805032
20180323UTASAS.txt,7,Post-play physical contact,0.405608214849921
20161201HOUGSW.txt,6,Off-ball or weak-side contact,0.4047619047619047
20160328NYKNOP.txt,4,Drive or shot contested by defender,0.4037216828478964
20180406SACMEM.txt,7,Post-play physical contact,0.4030797101449275
20180227WASMIL.txt,9,Guard-driven shot with defensive pressure,0.4013994910941476
20151214LACDET.txt,3,Perimeter shot with defender contact,0.4013364779874213
20170215NOPMEM.txt,4,Drive or shot contested by defender,0.3998682476943346
20180212SASUTA.txt,0,Close-range contact near the basket,0.3984992101105845
20150318ORLDAL.txt,2,Replay review and ruling outcome,0.3981481481481482
20180405WASCLE.txt,1,Shot attempt with incidental contact,0.397671568627451
20161109PHIIND.txt,9,Guard-driven shot with defensive pressure,0.3973407544836116
20170305ORLWAS.txt,3,Perimeter shot with defender contact,0.3971861471861472
20160308WASPOR.txt,3,Perimeter shot with defender contact,0.3956109134045077
20160505MIATOR.txt,10,Wing isolation or drive play,0.3939716312056737
20171212WASBKN.txt,10,Wing isolation or drive play,0.393387314439946
20161221SACUTA.txt,7,Post-play physical contact,0.3923611111111111
20171102LALPOR.txt,3,Perimeter shot with defender contact,0.3921985815602837
20170206CLEWAS.txt,1,Shot attempt with incidental contact,0.3921188630490956
20160112CLEDAL.txt,1,Shot attempt with incidental contact,0.3918187964841109
20161228NYKATL.txt,4,Drive or shot contested by defender,0.3912760416666667
20171128WASMIN.txt,1,Shot attempt with incidental contact,0.3903954802259887
20170130DETBOS.txt,11,General shooting foul situation,0.3903318903318903
20170320PHIORL.txt,9,Guard-driven shot with defensive pressure,0.3894977168949771
20180201MEMDET.txt,7,Post-play physical contact,0.3892580287929125
20170206PHONOP.txt,4,Drive or shot contested by defender,0.3892156862745098
20180105NYKMIA.txt,4,Drive or shot contested by defender,0.3891385767790262
20170412DETORL.txt,3,Perimeter shot with defender contact,0.3885767790262172
20160118UTACHA.txt,0,Close-range contact near the basket,0.3882575757575757
20170419OKCHOU.txt,5,Screen-related offensive contact,0.3869949494949495
20160302SACMEM.txt,7,Post-play physical contact,0.386963696369637
20150515ATLWAS.txt,2,Replay review and ruling outcome,0.3867102396514161
20160403OKCHOU.txt,5,Screen-related offensive contact,0.3861788617886179
20160317TORIND.txt,5,Screen-related offensive contact,0.3855721393034825
20161220CLEMIL.txt,9,Guard-driven shot with defensive pressure,0.3852258852258852
20161202MINNYK.txt,1,Shot attempt with incidental contact,0.3846761453396525
20160507TORMIA.txt,10,Wing isolation or drive play,0.3843537414965987
20171120BOSDAL.txt,11,General shooting foul situation,0.3843094721619667
20160205CHIDEN.txt,11,General shooting foul situation,0.3841991341991342
20180113LALDAL.txt,6,Off-ball or weak-side contact,0.384075907590759
20171209OKCMEM.txt,5,Screen-related offensive contact,0.3830203442879499
20160506SASOKC.txt,5,Screen-related offensive contact,0.3828213879408418
20171208DALMIL.txt,9,Guard-driven shot with defensive pressure,0.3824343015214385
20161220ORLMIA.txt,6,Off-ball or weak-side contact,0.3816768086544962
20170308SACSAS.txt,7,Post-play physical contact,0.3814553990610329
20150428SASLAC.txt,0,Close-range contact near the basket,0.3814504881450488
20170313LACUTA.txt,0,Close-range contact near the basket,0.3813905930470347
20170331DETMIL.txt,9,Guard-driven shot with defensive pressure,0.3807724601175482
20160110INDHOU.txt,5,Screen-related offensive contact,0.3806244260789715
20151118PORHOU.txt,3,Perimeter shot with defender contact,0.3803538175046554
20170421LACUTA.txt,0,Close-range contact near the basket,0.3801054018445323
20160412OKCSAS.txt,5,Screen-related offensive contact,0.3800880088008801
20170113ORLPOR.txt,3,Perimeter shot with defender contact,0.3795572916666667
20171124PORBKN.txt,10,Wing isolation or drive play,0.3782642089093702
20171208CHICHA.txt,11,General shooting foul situation,0.3774603174603174
20170118TORPHI.txt,10,Wing isolation or drive play,0.3769113149847095
20170316UTACLE.txt,1,Shot attempt with incidental contact,0.3764227642276423
20151129MILCHA.txt,9,Guard-driven shot with defensive pressure,0.3761574074074074
20151223DALBKN.txt,10,Wing isolation or drive play,0.3758553274682307
20180304BKNLAC.txt,10,Wing isolation or drive play,0.3757183908045977
20180201TORWAS.txt,10,Wing isolation or drive play,0.374750499001996
20161129LACBKN.txt,10,Wing isolation or drive play,0.3735772357723577
20171215NOPDEN.txt,11,General shooting foul situation,0.3734082397003745
20180330PHOHOU.txt,4,Drive or shot contested by defender,0.3734030197444832
20180309HOUTOR.txt,8,Marginal contact & non-call assessment,0.3730425055928412
20180410HOULAL.txt,8,Marginal contact & non-call assessment,0.373015873015873
20160227GSWOKC.txt,6,Off-ball or weak-side contact,0.3729885057471264
20151211GSWBOS.txt,6,Off-ball or weak-side contact,0.3729623383923552
20170502WASBOS.txt,11,General shooting foul situation,0.3722860791826309
20150316ATLSAC.txt,2,Replay review and ruling outcome,0.3721174004192872
20151203DENTOR.txt,10,Wing isolation or drive play,0.3717447916666667
20180522HOUGSW.txt,8,Marginal contact & non-call assessment,0.3716136631330978
20180214GSWPOR.txt,6,Off-ball or weak-side contact,0.3711395101171459
20160304BKNDEN.txt,11,General shooting foul situation,0.371111111111111
20180223MILTOR.txt,10,Wing isolation or drive play,0.3710488505747126
20170208LACNYK.txt,4,Drive or shot contested by defender,0.3704710144927536
20151229MIAMEM.txt,6,Off-ball or weak-side contact,0.3702791461412151
20170428LACUTA.txt,0,Close-range contact near the basket,0.3701472556894243
20171122WASCHA.txt,9,Guard-driven shot with defensive pressure,0.3700828157349897
20171028BOSMIA.txt,6,Off-ball or weak-side contact,0.3698717948717949
20171125LACSAC.txt,7,Post-play physical contact,0.3696296296296296
20180101PORCHI.txt,3,Perimeter shot with defender contact,0.3696006519967399
20160118HOULAC.txt,0,Close-range contact near the basket,0.3695402298850574
20161223ATLDEN.txt,11,General shooting foul situation,0.3693957115009746
20170415UTALAC.txt,0,Close-range contact near the basket,0.3692214111922141
20161121PHOWAS.txt,4,Drive or shot contested by defender,0.367737003058104
20180302DETORL.txt,3,Perimeter shot with defender contact,0.367737003058104
20180304INDWAS.txt,5,Screen-related offensive contact,0.3674388674388674
20171030MINMIA.txt,6,Off-ball or weak-side contact,0.367271505376344
20180225NOPMIL.txt,4,Drive or shot contested by defender,0.3669991687448046
20171208SACNOP.txt,7,Post-play physical contact,0.3664574616457461
20160226DENDAL.txt,11,General shooting foul situation,0.3664274322169059
20150414WASIND.txt,5,Screen-related offensive contact,0.3663761801016703
20180406DALDET.txt,3,Perimeter shot with defender contact,0.3662733529990167
20170125SACCLE.txt,7,Post-play physical contact,0.3660862354892205
20150511ATLWAS.txt,2,Replay review and ruling outcome,0.3659611992945326
20171230PHIDEN.txt,11,General shooting foul situation,0.3654970760233918
20160413DETCLE.txt,1,Shot attempt with incidental contact,0.3650537634408602
20170207PORDAL.txt,3,Perimeter shot with defender contact,0.3650472334682861
20171205UTAOKC.txt,5,Screen-related offensive contact,0.3648339060710195
20180126HOUNOP.txt,8,Marginal contact & non-call assessment,0.3646232439335888
20160221SASPHO.txt,4,Drive or shot contested by defender,0.3645276292335116
20160115ATLMIL.txt,9,Guard-driven shot with defensive pressure,0.3644338118022329
20170211LACCHA.txt,9,Guard-driven shot with defensive pressure,0.3642424242424242
20170226CHALAC.txt,9,Guard-driven shot with defensive pressure,0.3635964912280701
20151205INDUTA.txt,0,Close-range contact near the basket,0.3635658914728682
20160407TORATL.txt,10,Wing isolation or drive play,0.3635658914728682
20160208LACPHI.txt,0,Close-range contact near the basket,0.3632138114209827
20170402INDCLE.txt,1,Shot attempt with incidental contact,0.3631549609810479
20170305UTASAC.txt,7,Post-play physical contact,0.3628649015614392
